,precision,recall,f1-score,support
0,0.9080717488789237,0.8678571428571429,0.8875091307523739,2800.0
1,0.8326151806430229,0.8971428571428571,0.8636754340725459,2800.0
2,0.9383886255924171,0.8977329974811084,0.917610710607621,1985.0
3,0.9996292176492398,0.9970414201183432,0.9983336419181632,2704.0
accuracy,0.9155408688891049,0.9155408688891049,0.9155408688891049,0.9155408688891049
macro avg,0.919676193190901,0.9149436043998629,0.9167822293376761,10289.0
weighted avg,0.9174479763811783,0.9155408688891049,0.9159557012161159,10289.0
