,precision,recall,f1-score,support
MildDemented,0.9666666666666667,0.9720670391061452,0.9693593314763231,358.0
ModerateDemented,0.9826302729528535,1.0,0.9912390488110138,396.0
NonDemented,0.8827160493827161,0.715,0.7900552486187846,400.0
VeryMildDemented,0.7601713062098501,0.8875,0.8189158016147635,400.0
accuracy,0.8912483912483913,0.8912483912483913,0.8912483912483913,0.8912483912483913
macro avg,0.8980460738030216,0.8936417597765363,0.8923923576302213,1554.0
weighted avg,0.8959737432387536,0.8912483912483913,0.8900577375103632,1554.0
